participant_id,source_clip_id,condition,scene_code,auc
P10,C16,HUD,TL,580.51220445890681
P10,C18,HUD,TL,576.8557482008631
P10,C18,HUD,TL,552.00485575948949
P11,C18,HUD,TL,457.12261361258095
P11,C18,HUD,TL,422.25791671584898
P11,C16,HUD,TL,596.64940095976942
P11,C16,HUD,TL,512.80387347173973
P11,C13,HUD,TL,518.63099492376682
P11,C04,HUD,TL,532.77333889880401
P11,C04,HUD,TL,441.92711341568304
P12,C04,HUD,TL,674.53622727993991
P12,C04,HUD,TL,629.03749701278491
P12,C13,HUD,TL,686.54651008619601
P12,C16,HUD,TL,682.42856103752956
P12,C16,HUD,TL,720.60670272598384
P12,C18,HUD,TL,511.04322242371478
P12,C18,HUD,TL,572.02788242519637
P13,C17,HUD,TL,581.03321482856074
P13,C17,HUD,TL,621.70095824173245
P13,C07,HUD,TL,561.58147772487541
P13,C06,HUD,TL,563.26463567471978
P13,C05,HUD,TL,603.83181981425207
P13,C03,HUD,TL,741.35510853021799
P13,C02,HUD,TL,497.5996303311241
P14,C17,HUD,TL,897.95160297644929
P14,C17,HUD,TL,459.7604540014396
P14,C07,HUD,TL,632.4219042909707
P14,C06,HUD,TL,882.09907957832741
P14,C05,HUD,TL,660.516058344783
P14,C03,HUD,TL,642.15211044375587
P14,C02,HUD,TL,550.12392035402331
P15,C18,HUD,TL,375.91847993009605
P15,C18,HUD,TL,483.66958402700459
P15,C16,HUD,TL,688.91163064517514
P15,C16,HUD,TL,626.00634636183554
P15,C13,HUD,TL,608.6948595083378
P15,C04,HUD,TL,663.38217498861991
P15,C04,HUD,TL,553.9188644853848
P16,C02,HUD,TL,516.31683748463661
P16,C03,HUD,TL,508.53485087905256
P16,C05,HUD,TL,567.18182965594463
P16,C06,HUD,TL,464.14870356236293
P16,C07,HUD,TL,482.0534059768143
P16,C17,HUD,TL,588.21599271633465
P16,C17,HUD,TL,391.2736336006385
P17,C04,HUD,TL,531.09617400029424
P17,C04,HUD,TL,552.58946493647636
P17,C13,HUD,TL,808.74865830017347
P17,C16,HUD,TL,621.71819698473564
P17,C16,HUD,TL,899.07468735683221
P17,C18,HUD,TL,619.68945937322894
P17,C18,HUD,TL,358.67454749277528
P18,C02,HUD,TL,544.04691856116835
P18,C03,HUD,TL,672.54396807209514
P18,C05,HUD,TL,712.79066941128224
P18,C06,HUD,TL,632.2293355007406
P18,C07,HUD,TL,585.69287350805143
P18,C17,HUD,TL,562.81059379614635
P18,C17,HUD,TL,787.46195138948337
P01,C18,HUD,TL,413.00111182485779
P01,C18,HUD,TL,456.43094321714131
P01,C16,HUD,TL,570.66388899261051
P01,C16,HUD,TL,374.49189510985406
P01,C13,HUD,TL,584.38376956305228
P01,C04,HUD,TL,548.70508315486995
P01,C04,HUD,TL,522.96365112275032
P19,C18,HUD,TL,831.61721376831235
P19,C18,HUD,TL,627.53053124897087
P19,C16,HUD,TL,770.34036155628257
P19,C16,HUD,TL,716.26635602000363
P19,C13,HUD,TL,859.6053030423783
P19,C04,HUD,TL,748.83793255754335
P19,C04,HUD,TL,630.082615657308
P20,C18,HUD,TL,559.19798864219194
P20,C18,HUD,TL,529.2972183497036
P20,C16,HUD,TL,577.08836612725395
P20,C16,HUD,TL,557.68043863981359
P20,C13,HUD,TL,538.03264115271395
P20,C04,HUD,TL,501.00439518488707
P20,C04,HUD,TL,549.73791195050842
P02,C04,HUD,TL,464.02449184347626
P02,C04,HUD,TL,534.22444473412031
P02,C13,HUD,TL,670.58968969281545
P02,C16,HUD,TL,514.65718287199718
P02,C16,HUD,TL,291.9745772419144
P02,C18,HUD,TL,414.8341646299948
P02,C18,HUD,TL,367.30419433812818
P03,C02,HUD,TL,553.2752986740104
P03,C03,HUD,TL,581.97488513555072
P03,C05,HUD,TL,656.76148497966676
P03,C06,HUD,TL,637.37454577656172
P03,C07,HUD,TL,461.21265704777807
P03,C17,HUD,TL,569.91167493012904
P03,C17,HUD,TL,517.28106641632098
P04,C17,HUD,TL,729.3839551614509
P04,C17,HUD,TL,487.00987241095402
P04,C07,HUD,TL,492.69007737907287
P04,C06,HUD,TL,766.98986961706487
P04,C05,HUD,TL,682.93110455191504
P04,C03,HUD,TL,694.94543390669241
P04,C02,HUD,TL,683.34553210840261
P05,C18,HUD,TL,549.41272071317201
P05,C18,HUD,TL,726.44212266460409
P05,C16,HUD,TL,564.1040637909631
P05,C16,HUD,TL,365.74832388932299
P05,C13,HUD,TL,617.65078499039248
P05,C04,HUD,TL,512.81108113810365
P05,C04,HUD,TL,725.07254405235267
P06,C02,HUD,TL,617.94716431115194
P06,C03,HUD,TL,638.42255153078236
P06,C05,HUD,TL,708.38924365183982
P06,C06,HUD,TL,752.26785790198016
P06,C07,HUD,TL,647.53538244409515
P06,C17,HUD,TL,856.73409938771988
P06,C17,HUD,TL,697.42311094300328
P07,C17,HUD,TL,681.19327774015528
P07,C17,HUD,TL,644.76683513556793
P07,C07,HUD,TL,545.33209711886866
P07,C06,HUD,TL,571.35926873063352
P07,C05,HUD,TL,642.44192432308034
P07,C03,HUD,TL,553.80426980868879
P07,C02,HUD,TL,679.60088925020136
P08,C17,HUD,TL,553.68291477367086
P08,C17,HUD,TL,394.6970290605272
P08,C07,HUD,TL,537.63677788302982
P08,C06,HUD,TL,526.72883480524911
P08,C05,HUD,TL,622.84370846761431
P08,C03,HUD,TL,506.96931927171732
P08,C02,HUD,TL,588.74992929727068
P09,C04,RAW,PTL,714.11999519758092
P09,C04,RAW,PTL,960.47776488794796
P09,C13,RAW,PTL,807.24556047365797
P09,C16,RAW,PTL,852.40467554464669
P09,C16,RAW,PTL,815.28824165587253
P09,C18,RAW,PTL,999.24506360058763
P09,C18,RAW,PTL,950.73325610913321
P10,C02,RAW,PTL,971.91431415468242
P10,C03,RAW,PTL,835.44195823655366
P10,C05,RAW,PTL,868.094379646525
P10,C06,RAW,PTL,1019.0822689386276
P10,C07,RAW,PTL,1011.5608858895692
P10,C17,RAW,PTL,774.13765549826155
P10,C17,RAW,PTL,778.02545724798847
P11,C17,RAW,PTL,886.51693823980338
P11,C17,RAW,PTL,788.26584782977079
P11,C07,RAW,PTL,855.65568370628057
P11,C06,RAW,PTL,953.44790259580043
P11,C05,RAW,PTL,1013.686576990782
P11,C03,RAW,PTL,583.91192295439851
P11,C02,RAW,PTL,998.80074654747818
P12,C02,RAW,PTL,973.60431003407837
P12,C03,RAW,PTL,878.00718716434096
P12,C05,RAW,PTL,875.96278373798214
P12,C06,RAW,PTL,984.62837307027962
P12,C07,RAW,PTL,961.79982894096565
P12,C17,RAW,PTL,945.36037931709643
P12,C17,RAW,PTL,875.1767527786476
P13,C18,RAW,PTL,700.72918255575337
P13,C18,RAW,PTL,603.29062728712393
P13,C16,RAW,PTL,909.28162443005078
P13,C16,RAW,PTL,925.35107311804074
P13,C13,RAW,PTL,873.33361951953725
P13,C04,RAW,PTL,885.82230904139169
P13,C04,RAW,PTL,977.69310378720377
P14,C18,RAW,PTL,652.11645495485857
P14,C18,RAW,PTL,926.67729296561379
P14,C16,RAW,PTL,664.23350584153036
P14,C16,RAW,PTL,751.72334252211488
P14,C13,RAW,PTL,806.1024600710158
P14,C04,RAW,PTL,975.67159697585237
P14,C04,RAW,PTL,937.79022550409195
P15,C17,RAW,PTL,706.99886361243875
P15,C17,RAW,PTL,605.77309114533261
P15,C07,RAW,PTL,530.30951110462934
P15,C06,RAW,PTL,883.31466757552414
P15,C05,RAW,PTL,793.65874124404934
P15,C03,RAW,PTL,762.21769982106673
P15,C02,RAW,PTL,984.10768193771958
