participant_id,condition,scene_code,transition,probability
P01,RAW,TL,C->R,0.017857142857142856
P01,RAW,TL,L->C,0.53333333333333333
P01,RAW,TL,L->L,0.46666666666666667
P01,RAW,TL,L->R,0
P01,RAW,TL,R->C,0.17857142857142858
P01,RAW,TL,R->L,0
P01,RAW,TL,R->R,0.10714285714285714
P01,HUD,TR,C->C,0.52777777777777779
P01,HUD,TR,C->L,0
P01,HUD,TR,C->R,0.30555555555555552
P01,HUD,TR,L->C,0
P01,HUD,TR,L->L,0
P01,HUD,TR,L->R,0
P01,HUD,TR,R->C,0.14531695156695154
P01,HUD,TR,R->L,0
P01,HUD,TR,R->R,0.85468304843304843
P01,RAW,TR,C->C,0.77777777777777768
P01,RAW,TR,C->L,0
P01,RAW,TR,C->R,0.055555555555555552
P01,RAW,TR,L->C,0
P01,RAW,TR,L->L,0
P01,RAW,TR,L->R,0
P01,RAW,TR,R->C,0.27546296296296297
P01,RAW,TR,R->L,0
P01,RAW,TR,R->R,0.72453703703703709
P02,HUD,LL,C->C,0.89364177489177488
P02,HUD,LL,C->L,0.10635822510822507
P02,HUD,LL,C->R,0
P02,HUD,LL,L->C,0.35892857142857143
P02,HUD,LL,L->L,0.64107142857142851
P02,HUD,LL,L->R,0
P02,HUD,LL,R->C,0
P02,HUD,LL,R->L,0
P02,HUD,LL,R->R,0
P02,RAW,LL,C->C,1
P02,RAW,LL,C->L,0
P02,RAW,LL,C->R,0
P02,RAW,LL,L->C,0
P02,RAW,LL,L->L,0
P02,RAW,LL,L->R,0
P02,RAW,LL,R->C,0
P02,RAW,LL,R->L,0
P02,RAW,LL,R->R,0
P02,HUD,LR,C->C,0.91878306878306881
P02,HUD,LR,C->L,0
P02,HUD,LR,C->R,0.081216931216931187
P02,HUD,LR,L->C,0
P02,HUD,LR,L->L,0
P02,HUD,LR,L->R,0
P02,HUD,LR,R->C,0.39880952380952378
P02,HUD,LR,R->L,0
P02,HUD,LR,R->R,0.60119047619047616
P02,RAW,LR,C->C,0.9916666666666667
P02,RAW,LR,C->L,0
P02,RAW,LR,C->R,0.0083333333333333332
P02,RAW,LR,L->C,0.16666666666666666
P02,RAW,LR,L->L,0
P02,RAW,LR,L->R,0
P02,RAW,LR,R->C,0.16666666666666666
P02,RAW,LR,R->L,0
P02,RAW,LR,R->R,0
P02,HUD,PLL,C->C,0.53095238095238095
P02,HUD,PLL,C->L,0.46904761904761905
P02,HUD,PLL,C->R,0
P02,HUD,PLL,L->C,0.1294642857142857
P02,HUD,PLL,L->L,0.8705357142857143
P02,HUD,PLL,L->R,0
P02,HUD,PLL,R->C,0.25
P02,HUD,PLL,R->L,0
P02,HUD,PLL,R->R,0
P02,RAW,PLL,C->C,0.97222222222222221
P02,RAW,PLL,C->L,0.027777777777777776
P02,RAW,PLL,C->R,0
P02,RAW,PLL,L->C,0
P02,RAW,PLL,L->L,0.25
P02,RAW,PLL,L->R,0
P02,RAW,PLL,R->C,0
P02,RAW,PLL,R->L,0
P02,RAW,PLL,R->R,0
P02,HUD,PLR,C->C,0.48015873015873017
P02,HUD,PLR,C->L,0
P02,HUD,PLR,C->R,0.51984126984126988
P02,HUD,PLR,L->C,0
P02,HUD,PLR,L->L,0
P02,HUD,PLR,L->R,0
P02,HUD,PLR,R->C,0.10509860509860508
P02,HUD,PLR,R->L,0
P02,HUD,PLR,R->R,0.89490139490139498
P02,RAW,PLR,C->C,1
P02,RAW,PLR,C->L,0
P02,RAW,PLR,C->R,0
P02,RAW,PLR,L->C,0
P02,RAW,PLR,L->L,0
P02,RAW,PLR,L->R,0
P02,RAW,PLR,R->C,0.20000000000000001
P02,RAW,PLR,R->L,0
P02,RAW,PLR,R->R,0
P02,HUD,PTL,C->C,0.7765829408686552
P02,HUD,PTL,C->L,0.17736787022501305
P02,HUD,PTL,C->R,0.046049188906331744
P02,HUD,PTL,L->C,0.35299430116874336
P02,HUD,PTL,L->L,0.47557712740268521
P02,HUD,PTL,L->R,0.028571428571428574
P02,HUD,PTL,R->C,0.10714285714285714
P02,HUD,PTL,R->L,0.17857142857142858
P02,HUD,PTL,R->R,0.14285714285714285
P02,RAW,PTL,C->C,0.88484432234432231
P02,RAW,PTL,C->L,0.034798534798534786
P02,RAW,PTL,C->R,0.080357142857142863
P02,RAW,PTL,L->C,0.2857142857142857
P02,RAW,PTL,L->L,0.14285714285714285
P02,RAW,PTL,L->R,0
